stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id,wheelchair_boarding,stop_url
1000,"50th St W & Upton Ave S","Near side E",  44.912365, -93.315178,"50th St W",MINNEAPOLIS,,,,,1,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=1000
10000,"Carmen Ave & Claude Way E","Across from S",  44.857533, -93.041008,"Carmen Ave",INVER GROVE HEIGHTS,,,,,1,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10000
10001,"Carmen Ave & 65th St E","Far side S",  44.855000, -93.042488,"Carmen Ave",INVER GROVE HEIGHTS,,,,,1,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10001
10002,"Carmen Ave & Village Square Center","Near side S",  44.853642, -93.042244,"Carmen Ave",INVER GROVE HEIGHTS,,,,,1,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10002
10003,"Carmen Ave & Lake Bridge Apts","Across from E",  44.853397, -93.040787,"Carmen Ave",INVER GROVE HEIGHTS,,,,,2,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10003
10004,"67th St E & Catherine Ave","Across from E",  44.851719, -93.036842,"67th St E",INVER GROVE HEIGHTS,,,,,1,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10004
10005,"67th St E & Clayton Ave","Near side E",  44.851696, -93.034836,"67th St E",INVER GROVE HEIGHTS,,,,,1,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10005
10006,"Clayton Ave & 68th St E","Near side S",  44.851303, -93.034782,"Clayton Ave",INVER GROVE HEIGHTS,,,,,1,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10006
10007,"Clayton Ave & 69th St E","Near side S",  44.849903, -93.034775,"Clayton Ave",INVER GROVE HEIGHTS,,,,,1,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10007
10008,"Clayton Ave & 70th St E","Near side S",  44.848213, -93.034737,"Clayton Ave",INVER GROVE HEIGHTS,,,,,1,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10008
10013,"70th St E & Cloman Ave E","Across from E",  44.847965, -93.032265,"70th St E",INVER GROVE HEIGHTS,,,,,1,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10013
10014,"70th St E & Cooper Ave E","Near side E",  44.847946, -93.028702,"70th St E",INVER GROVE HEIGHTS,,,,,1,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10014
10016,"70th St E & Crosby Ave E","Across from E",  44.847954, -93.025894,"70th St E",INVER GROVE HEIGHTS,,,,,1,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10016
10017,"70th St E & Dawn Ave","Near side E",  44.847958, -93.024620,"70th St E",INVER GROVE HEIGHTS,,,,,1,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10017
1002,"50th St W & Sheridan Ave S","Near side E",  44.912342, -93.312645,"50th St W",MINNEAPOLIS,,,,,1,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=1002
10024,"75th St E & Craig Ave E","Near side W",  44.840836, -93.027130,"75th St E",INVER GROVE HEIGHTS,,,,,1,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10024
